
                             - The Restaurant -                             

Chf      Wtr      Std1     Std2     Std3     Std4     Std5     Std6     Std7     
CS       AS       ETM      ETM      CWC      ETM      ETM      ETM      CWC      
CS       AS       ETM      ETM      CWC      ETM      CWC      ETM      CWC      
CS       AS       CWC      ETM      CWC      ETM      CWC      ETM      CWC      
CS       AS       CWC      CWC      CWC      ETM      CWC      ETM      CWC      
CS       AS       CWC      CWC      CWC      ETM      CWC      CWC      CWC      
CS       AS       CWC      CWC      CWC      CWC      CWC      CWC      CWC      
CS       PTB      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
CS       RP       CWC      CWC      CWC      CWC      CWC      CWC      CWC      
CS       RP       CWC      CWC      CWC      PTB      CWC      CWC      CWC      
CS       RP       CWC      CWC      CWC      GH       CWC      CWC      CWC      
CS       RP       CWC      CWC      CWC      GH       CWC      GH       CWC      
CS       RP       CWC      GH       CWC      GH       CWC      GH       CWC      
CS       RP       GH       GH       CWC      GH       CWC      GH       CWC      
CS       RP       GH       GH       CWC      GH       GH       GH       CWC      
CS       RP       GH       GH       CWC      GH       GH       GH       GH       
CS       RP       GH       GH       GH       GH       GH       GH       GH       
CS       AS       GH       GH       GH       GH       GH       GH       GH       
